дата_время;URL;тэг;класс_тэга;кол-во
"20-03 21:13";https://regex101.com;div;cm-line;0
"20-03 21:15";https://regex101.com;div;u_Q0A;0
"20-03 21:15";https://www.reaspekt.ru;div;block;5
"21-03 10:24";https://www.php.net/manual/ru/function.filter-var.php;span;;1047
"24-03 08:20";https://www.reaspekt.ru;div;fixed-header;1
"24-03 09:18";https://www.reaspekt.ru;div;fixed-header;0
"24-03 09:18";https://www.reaspekt.ru;div;header;0
"24-03 09:18";https://www.reaspekt.ru;div;fixed-header-wrapper;1
"24-03 09:21";https://www.reaspekt.ru;div;newMain;1
"24-03 09:22";https://www.reaspekt.ru;div;newSeoWrap;1
